Tap_01,Tap_02,Tap_03,Tap_04,Tap_05,Tap_06,Tap_07,Tap_08,Tap_09,Tap_10,Tap_11,Tap_12,Tap_13,Tap_14,Tap_15,Tap_16,Tap_17,Tap_18,Tap_19,Tap_20,Tap_21,Tap_22,Tap_23,Tap_24,Tap_25
-61.76711,-64.70521,-69.19652,-75.83023,-93.45955,-112.7792,-122.6269,-136.0483,-144.3922,-157.4662,-188.0647,-206.4167,-214.1696,-209.1042,-178.8466,-64.02859,-58.30098,-55.03532,-55.61291,-56.07263,-57.04747,-58.21397,-57.98947,-56.23981,-48.78498
-62.16291,-64.9587,-69.22844,-75.64458,-93.35191,-112.7247,-122.5944,-136.0799,-144.547,-157.6207,-188.249,-206.6591,-214.4097,-209.3352,-178.9836,-64.35464,-58.5435,-55.28996,-55.81184,-56.203,-57.16343,-58.30133,-58.0353,-56.25036,-48.80679
-61.85269,-64.56789,-68.86665,-75.42801,-93.14737,-112.453,-122.3663,-135.8271,-144.0053,-157.4551,-187.7394,-206.2269,-213.9514,-208.7854,-178.4146,-64.2243,-58.40643,-55.10175,-55.64604,-56.11605,-57.11079,-58.2795,-58.00229,-56.2186,-48.75243
-61.89536,-64.66296,-68.8773,-75.41769,-93.21196,-112.453,-122.3528,-135.8271,-143.8839,-157.3777,-187.696,-206.1742,-213.9405,-208.8734,-178.5516,-64.48524,-58.73331,-55.43389,-55.95543,-56.39815,-57.38504,-58.55249,-58.28657,-56.49289,-48.99114
-61.80965,-64.66309,-68.87716,-75.44878,-93.22272,-112.4856,-122.3663,-135.8586,-143.9612,-157.0687,-187.7503,-206.2059,-213.9841,-208.8624,-178.6043,-65.09397,-59.10236,-55.6974,-56.14319,-56.53936,-57.50112,-58.68353,-58.44062,-56.66179,-49.08891
-61.65989,-64.40959,-68.82396,-75.3972,-93.03972,-112.3769,-122.2903,-135.5847,-143.6959,-156.9693,-187.5119,-205.974,-213.7552,-208.7964,-178.6359,-65.03974,-59.134,-55.66638,-56.16529,-56.55022,-57.50124,-58.66169,-58.42036,-56.67223,-49.14316
-62.23768,-65.03277,-69.50496,-76.17072,-93.82543,-113.127,-122.9962,-136.4907,-144.7019,-157.6978,-188.3357,-206.796,-214.5844,-209.5,-179.2048,-64.9635,-58.89147,-55.35639,-55.81184,-56.203,-57.17411,-58.36512,-58.15453,-56.38739,-48.91519
-61.55317,-64.29327,-68.76012,-75.21156,-92.91039,-112.2464,-122.0731,-135.4583,-143.6074,-157.0356,-187.2949,-205.7104,-213.4824,-208.3895,-178.2413,-63.7459,-57.94247,-54.66997,-55.21528,-55.70359,-56.72034,-57.87365,-57.64836,-55.81772,-48.3401
-61.8099,-64.40945,-68.86665,-75.17017,-92.92117,-112.2247,-122.0731,-135.4796,-143.8063,-157.4772,-187.3166,-205.6577,-213.4059,-208.3015,-178.088,-63.68067,-58.01627,-54.82497,-55.38107,-55.82288,-56.78354,-57.93005,-57.68137,-55.89168,-48.48126
-62.04525,-64.58901,-69.10075,-75.61365,-93.21196,-112.4312,-122.3337,-135.7428,-143.9943,-156.6936,-187.5009,-205.8369,-213.5914,-208.5545,-178.362,-64.06108,-58.31152,-54.86913,-55.33689,-55.74701,-56.7309,-57.8973,-57.67223,-55.91266,-48.48116
-61.15724,-63.82852,-68.34526,-74.90202,-92.49069,-111.6702,-121.5164,-134.9,-142.9884,-156.0974,-186.5035,-204.941,-212.664,-207.5429,-177.3821,-63.80014,-58.17444,-54.92461,-55.52466,-55.99677,-56.96305,-58.10478,-57.85926,-56.07102,-48.57892
-61.83117,-64.5362,-68.8773,-75.39706,-93.09354,-112.2464,-122.0595,-135.4583,-143.5522,-156.572,-187.0347,-205.3942,-213.0349,-207.9058,-177.7087,-64.36565,-58.52242,-55.16817,-55.72348,-56.17021,-57.13178,-58.31226,-58.0775,-56.29256,-48.92614
-61.72407,-64.45184,-69.11126,-75.53128,-93.15813,-112.3116,-122.0704,-135.4794,-143.508,-156.9362,-186.9915,-205.331,-213.0349,-208.0267,-177.951,-64.7243,-58.74385,-55.35414,-55.83392,-56.27886,-57.27951,-58.43237,-58.19854,-56.44025,-48.94785
-61.17863,-64.09258,-68.62178,-75.10843,-92.67356,-111.8007,-121.6278,-134.9527,-143.0327,-156.0533,-186.5904,-205.0042,-212.7841,-207.7738,-177.6876,-64.50698,-58.57514,-55.22353,-55.76765,-56.23556,-57.25853,-58.41053,-58.15632,-56.36629,-48.82848
-62.1414,-64.92715,-69.24959,-75.68598,-93.31946,-112.5617,-122.4749,-135.8797,-144.0276,-156.9142,-187.5985,-205.9738,-213.7661,-208.7853,-178.7728,-64.76793,-58.80712,-55.41175,-55.95543,-56.3657,-57.32172,-58.50881,-58.31958,-56.55618,-49.0671
-62.14152,-64.80026,-69.07934,-75.53128,-93.20106,-112.4856,-122.3446,-135.7008,-143.9169,-156.7596,-187.4575,-205.858,-213.6679,-208.5654,-178.362,-64.94176,-58.97583,-55.48924,-55.99961,-56.43082,-57.39571,-58.60709,-58.35435,-56.58795,-49.08891
-61.4034,-64.27215,-68.94114,-75.38675,-93.02895,-112.3442,-122.1817,-135.4899,-143.7953,-157.1571,-187.3816,-205.8159,-213.6023,-208.4884,-178.1723,-64.56135,-58.62786,-55.26782,-55.83392,-56.31142,-57.33239,-58.53065,-58.29934,-56.52454,-48.96944
-61.8206,-64.90589,-69.33484,-75.95399,-93.53491,-112.7356,-122.6269,-135.964,-144.0827,-157.2785,-187.761,-206.1532,-213.9078,-208.8954,-178.7307,-64.49599,-58.69113,-55.39843,-55.96647,-56.43082,-57.4167,-58.59617,-58.36359,-56.60905,-49.13231
-61.70293,-64.64183,-68.96243,-75.52083,-93.15813,-112.4203,-122.2224,-135.7428,-143.707,-157.3667,-187.3816,-205.8686,-213.5695,-208.4446,-178.1723,-64.65907,-58.83863,-55.50031,-56.07692,-56.5068,-57.50124,-58.69445,-58.45337,-56.65124,-49.12146
